b3-b0 \ b7-b4,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0000,,▶, ,0,@,P,`,p,А,Р,Ä,Ś,À,Ð,à,ð
0001,,◀,!,1,A,Q,a,q,Б,С,Ą,Ş,Á,Ñ,á,ñ
0010,,⏫,"""",2,B,R,b,r,В,Т,Ć,ş,Â,ò,ȧ,ò
0011,,⏬,#,3,C,S,c,s,Г,У,Č,š,Ã,Ó,ã,Ó
0100,,£,$,4,D,T,d,t,Д,Ф,Ď,Ţ,Ä,Ô,ä,Ô
0101,,¿,%,5,E,U,e,u,Е,Х,Ě,Ť,Ȧ,Õ,ȧ,õ
0110,,¡,&,6,F,V,f,v,Ж,Ц,ę,Ů,Æ,Ö,æ,Ö
0111,,♪,',7,G,W,g,w,З,Ч,Ğ,Ű,Ç,×,ç,÷
1000,,◇,(,8,H,X,h,x,И,Ш,ğ,Ź,È,0,è,Ø
1001,,‖,),9,I,Y,i,y,Й,Щ,ı,Ż,É,Ù,é,ù
1010,,✓,*,:,J,Z,j,z,К,Ъ,İ,ž,Ê,Ú,ê,ú
1011,,,+,;,K,[,k,{,Л,Ы,ľ,,Ë,Û,ë,û
1100,,,",",<,L,\,l,|,М,Ь,Ń,,Ì,Ü,ì,ü
1101,,,-,=,M,],m,},Н,Э,Ň,,Í,Ý,í,ý
1110,,,.,>,N,^,n,~,О,Ю,Ő,,Î,Þ,î,þ
1111,,,/,?,O,_,o,¦,П,Я,Ř,,Ï,ß,ï,ÿ
